Mineral_name,Formula,Reference
Allochalcoselite,Cu₆ Pb Se₂ O₈ Cl₅,"Krivovichev S. V., Filatov S. K., Burns P. C., Vergasova L. P., The crystal structure of allochalcoselite, Cu+Cu2+5PbO2(SeO3)2Cl5, a mineral with well-defined Cu+ and Cu2+ positions, The Canadian Mineralogist, 44, 507–514 (2006)."
Mattagamite,Co Te₂,"Tengner S., Uber diselenide und ditelluride von eisen, kobalt und nickel, Zeitschrift fur Anorganische und Allgemeine Chemie, 239, 126–132 (1938)."
Matsubaraite,Sr₄ Ti₅ Si₄ O₂₂,"Miyajima H., Miyawaki R., Ito K., Matsubaraite, Sr4Ti5(Si2O7)2O8, a new mineral, the Sr-Ti analogue of perrierite in jadeitite from the Itoigawa-Ohmi district, Niigata Prefecture, Japan, European Journal of Mineralogy, 14, 1119–1128 (2002)."
Freboldite,Co Se,"Wyckoff R. W. G., Second edition. Interscience Publishers, New York, New York Note: ideal nickel arsenide structure, Crystal Structures, 1, 85–237 (1963)."
Picromerite,K₂ Mg S₂ O₁₄ H₁₂,"Bosi F., Belardi G., Ballirano P., Structural features in Tutton's salts K2[M2+(H2O)6](SO4)2, with M2+= Mg, Fe, Co, Ni, Cu, and Zn, American Mineralogist, 94, 74–82 (2009)."
Titanium-beta,Ti,"Wyckoff R. W. G., Second edition. Interscience Publishers, New York, New York Sample at T = 1173 K Body centered cubic, bcc, structure, Crystal Structures, 1, 7–83 (1963)."
Bianchite,Zn S O₁₀ H₁₂,"Anderson J. L., Peterson R. C., Swainson I., The atomic structure of deuterated boyleite ZnSO4*4D2O, ilesite MnSO4*4D2O, and bianchite ZnSO4*6D2O, American Mineralogist, 97, 1905–1914 (2012)."
Tellurobismuthite,Bi₂ Te₃,"Atabaeva E. Y., Ickevich E. S., Mashkov S. A., Popova S. V., Vereshchagin L. F., The polymorphism of bismuth telluride under high pressures and temperatures, Fizika Tverdogo Tela, 10, 62–65 (1968)."
Clarkeite,U Na O₄,"Finch R. J., Ewing R. C., Clarkeite: New chemical and structural data, American Mineralogist, 82, 607–619 (1997)."
Helvine,Mn₄ O₁₂ Be₃ Si₃ S,"Hassan I., Grundy H. D., The crystal structures of helvite group minerals, (MnFeZn)8(Be6Si6O24)S2, American Mineralogist, 70, 186–192 (1985)."
Heidornite,Ca₃ Na₂ Cl S₂ O₁₈ B₅ H₂,"Burzlaff H., Die struktur des heidornit Ca3Na2Cl(SO4)2B5O8(OH)2, Neues Jahrbuch fur Mineralogie, Monatshefte, 1967, 157–169 (1967)."
Fukalite,Ca₄ Si₂ C O₁₁ H₄,"Merlino S., Bonaccorsi E., Grabezhev A. I., Zadov A. E., Pertsev N. N., Chukanov N. V., Fukalite: An example of an OD structure with two-dimensional disorder, American Mineralogist, 94, 323–333 (2009)."
Mackinawite,Fe S,"Lennie A. R., Redfern S. A. T., Schofield P. F., Vaughan D. J., Synthesis and Rietveld crystal structure refinement of mackinawite, tetragonal FeS, Mineralogical Magazine, 59, 677–683 (1995)."
Krivovichevite,Pb₃ Al S (O₁₁ H₇),"Krivovichev S. V., Armbruster T., Yakovenchuk V. N., The crystal structure of krivovichevite, Pb3[Al(OH)6](SO4)(OH), The Canadian Mineralogist, 47, 153–158 (2009)."
Leisingite,Te Cu₂ Mg O₁₂,"Margison S. M., Grice J. D., Groat L. A., The crystal structure of leisingite, (Cu,Mg,Zn)2(Mg,Fe)TeO6.6H2O, The Canadian Mineralogist, 35, 759–763 (1997)."
Cavoite,Ca V₃ O₇,"Bouloux J. C., Galy J., Les hypovanadates MV3O7 (M=Ca,Sr,Cd). Structure cristalline de CaV3O7, Acta Crystallographica, Section B, 29, 269–275 (1973)."
Cadmium,Cd,"Wyckoff R. W. G., Second edition. Interscience Publishers, New York, New York Hexagonal closest packed, hcp, structure, Crystal Structures, 1, 7–83 (1963)."
Celestine,Sr S O₄,"Miyake M., Minato I., Morikawa H., Iwai S. I., Crystal structure and sulphate force constants of barite, celestite, and anglesite, American Mineralogist, 63, 506–510 (1978)."
Vanadium,V,"Wyckoff R. W. G., Second edition. Interscience Publishers, New York, New York Body centered cubic, bcc, structure, Crystal Structures, 1, 7–83 (1963)."
Dervillite,Ag₂ As S₂,"Bindi L., Nestola F., De Battisti. L., Guastoni A., Dervillite, Ag2AsS2, from Lengenbach quarry, Binn valley, Switzerland: occurrence and crystal structure, Mineralogical Magazine, 77, 3105–3112 (2013)."
Paulkellerite,Bi₂ Fe P O₈ H₂,"Grice J. D., Groat L. A., Crystal structure of paulkellerite, American Mineralogist, 73, 873–875 (1988)."
Papagoite,Ca Cu Al Si₂ O₉,"Groat L. A., Hawthorne F. C., Refinement of the structure of papagoite, CaCuAlSi2O6(OH)3 Note: U(1,1)(O3) changed from .0068 to match reported Uiso, Mineralogy and Petrology, 37, 89–96 (1987)."
Hauerite,Mn S₂,"Offner F., A redetermination of the parameter for hauerite, MnS2, Zeitschrift fur Kristallographie, 89, 182–184 (1934)."
Fluorocronite,Pb F₂,"Mills S. J., Kartashov P. M., Gamyanin G. N., Whitfield P. S., Kern A., Guerault H., Kampf A. R., Raudsepp M., Fluorocronite, the natural analogue of beta-PbF2, from the Sakha Republic, Russian Federation, European Journal of Mineralogy, 23, 695–700 (2011)."
Behierite,Nb B O₄,"Range K. J., Wildenauer M., Heyns A. M., Extrem kurze nichtbindende sauerstoff-sauerstoff-abstande: Die kristallstrukturen von NbBO4, NaNb3O8 und NaTa3O8 Note: data from ICSD, Angewandte Chemie, 100, 973–975 (1988)."
Nickelbischofite,Ni Cl₂ O₆ H₁₂,"Kleinberg R., Crystal structure of NiCl2*6H2O at room temperature and 4.2 K by neutron diffraction Sample: T = room temp, X-ray data, Journal of Chemical Physics, 50, 4690–4696 (1969)."
Rosiaite,Pb Sb₂ O₆,"Basso R., Lucchetti G., Zefiro L., Palenzona A., Rosiaite, PbSb2O6, a new mineral from the Cetine mine, Siena, Italy, European Journal of Mineralogy, 8, 487–492 (1996)."
Clinomimetite,Pb₅ As₃ O₁₂ Cl,"Yongshan D., Hughes J. M., Moore P. B., The crystal structures of mimetite and clinomimetite, Pb5(AsO4)3Cl, The Canadian Mineralogist, 29, 369–376 (1991)."
Breithauptite,Ni Sb,"Wyckoff R. W. G., Second edition. Interscience Publishers, New York, New York Note: ideal nickel arsenide structure, Crystal Structures, 1, 85–237 (1963)."
Pabstite,Ba Sn Si₃ O₉,"Choisnet J., Deschanvres A., Raveau B., Sur de nouveaux germanates et silicates de type benitoite _cod_database_code 1001773, Journal of Solid State Chemistry, 4, 209–218 (1972)."
Parapierrotite,Tl Sb₅ S₈,"Engel P., Die kristallstruktur von synthetischem parapierrotit, TlSb5S8, Zeitschrift fur Kristallographie, 151, 203–216 (1980)."
Bismutoferrite,Bi Fe₂ Si₂ O₉ H,"Zhukhlistov A. P., Zvyagin B. B., Determination of the crystal structures of chapmanite and bismuthoferrite by high-voltage electron diffraction, Soviet Physics Crystallography, 22, 419–423 (1977)."
Lawsonite,Ca Al₂ Si₂ O₁₀ H₈,"Baur W. H., Crystal structure refinement of lawsonite, American Mineralogist, 63, 311–315 (1978)."
Mangan-neptunite,Si₈ Ti₂ Fe₂ Na₂ K Li O₂₄,"Zolotarev A. A., Krivovichev S. V., Yakovenchuk V. N., Refinement of the mangan-neptunite structure Note: changed signs of z-coordinates of O12 and O14, Ti1(y) to .32364, Zapiski Vserossijskogo Mineralogicheskogo Obshchestva, 136, 118–123 (2007)."
Jervisite,Na Sc Si₂ O₆,"Hawthorne F. C., Grundy H. D., Refinement of the crystal structure of NaScSi2O6, Acta Crystallographica, Section B, 29, 2615–2616 (1973)."
Sulvanite,Cu₃ V S₄,"Trojer F. J., Refinement of the structure of sulvanite Note: symmetry constraints on B(i,j) reported incorrectly, American Mineralogist, 51, 890–894 (1966)."
Boggildite,Sr₂ P Al₂ Na₂ O₄ F₉,"Hawthorne F. C., The crystal structure of boggildite, The Canadian Mineralogist, 20, 263–270 (1982)."
Pentahydroborite,Ca B₂ O₉ H₁₀,"Kazanskaya E. V., Chemodina T. N., Egorov-Tismenko Y. K., Simonov M. A., Belov N. V., Refined crystal structure of pentahydroborite Ca(B2O(OH)6)*(H2O)2, Soviet Physics Crystallography, 22, 35–36 (1977)."
Mitscherlichite,Cu K₂ O₂ Cl₄ H₄,"Chrobak L., Quantitative spectrometric studies of ammonium and of potassium cupric chloride dihydrate (NH4)2CuCl4*2H2O and K2CuCl4*2H2O, Zeitschrift fur Kristallographie, 88, 35–47 (1934)."
Sphaerobismoite,Bi₂ O₃,"Blower S. K., Greaves C., The structure of beta-Bi2O3 from powder neutron diffraction data, Acta Crystallographica, Section C, 44, 587–589 (1988)."
Tugtupite,Al Be Si₄ O₁₂ Na₄ Cl,"Antao S. M., Hassan I., Parise J. B., Tugtupite: High-temperature structures obtained from in situ synchrotron diffraction and Rietveld refinements T = 20 C, data from Hassan and Grundy (1991), American Mineralogist, 89, 492–497 (2004)."
Jagowerite,Ba Al₂ P₂ O₁₀ H₂,"Meagher E. P., Gibbons C. S., Trotter J., The crystal structure of jagowerite: BaAl2P2O8(OH)2, American Mineralogist, 59, 291–295 (1974)."
Ernstburkeite,Mg S₂ C₂ O₁₈ H₃₀,"Genceli Guner. F. E., Lutz M., Sakurai T., Spek A. L., Hondoh T., Crystallization and characterization of magnesium methanesulfonate hydrate Mg(CH3SO3)2*12H2O Note: T = 110 K, Crystal Growth & Design, 10, 4327–4333 (2010)."
Cervantite,Sb O₂,"Thornton G., A neutron diffraction study of a-Sb2O4, Acta Crystallographica, Section B, 33, 1271–1273 (1977)."
Eulytine,Bi₄ Si₃ O₁₂,"Menzer G., Die Kristallstruktur von Eulytin _cod_database_code 1011071, Zeitschrift fur Kristallographie, 78, 136–163 (1931)."
Smirnite,Bi₂ Te O₅,"Mercurio D., El Farissi. M., Frit B., Goursat P., Etude structurale et densification d'un nouveau materiau piezoelectrique: Bi2TeO5, Materials Chemistry and Physics, 9, 467–476 (1983)."
Bobjonesite,V S O₈ H₆,"Schindler M., Hawthorne F. C., Huminicki D. M. C., Haynes P., Grice J. D., Evans H. T., Bobjonesite, VO(SO4)(H2O)3, a new mineral species from Temple Mountain, Emery County, Utah, U.S.A., The Canadian Mineralogist, 41, 83–90 (2003)."
Deerite,Fe₉ Si₆ O₂₅ H₅,"Fleet M. E., The crystal structure of deerite Note: sample is from a riebeckite-deerite-garnet schist near Panoche, San Benito County, California, USA, American Mineralogist, 62, 990–998 (1977)."
Decaborane,B₅,"Kasper J. S., Lucht C. M., Harker D., The crystal structure of decaborane, American Mineralogist, 33, 768–768 (1948)."
Seinajokite,Fe Sb₂,"Holseth H., Kjekshus A., Compounds with the marcasite type crystal structure IV. The crystal structure of FeSb2 Note: Powder X-ray diffractometer with strip charts, Acta Chemica Scandinavica, 23, 3043–3050 (1969)."
Hazenite,K Na Mg₂ P₂ O₂₂ H₂₈,"Yang H., Sun H. J., Downs R. T., Hazenite, KNaMg2(PO4)2*14H2O, a new biologically related phosphate mineral, from Mono Lake, California, U.S.A., American Mineralogist, 96, 675–681 (2011)."
Americium,Am,"Wyckoff R. W. G., Second edition. Interscience Publishers, New York, New York Cubic closest packed, ccp, structure, Crystal Structures, 1, 7–83 (1963)."
Coesite,Si O₂,"Levien L., Prewitt C. T., High-pressure crystal structure and compressibility of coesite P = 1 atm isotropic refinement, American Mineralogist, 66, 324–333 (1981)."
Cerianite-(Ce),Ce O₂,"Wyckoff R. W. G., Second edition. Interscience Publishers, New York, New York Fluorite structure, Crystal Structures, 1, 239–444 (1963)."
Microlite,Ca₂ Ta₂ O₇,"Gasperin M., Synthese et identification de deux oxydes doubles de tantale et d'etain, Comptes Rendus Hebdomadaires des Seances de l'Academie des Sciences, 240, 2340–2342 (1955)."
Pyrite,Fe S₂,"Ramsdell L. S., The crystal structures of some metallic sulfides, American Mineralogist, 10, 281–304 (1925)."
Ramanite-(Rb),Rb B₅ O₁₂ H₈,"Helmut B., Rubidium pentaborate tetrahydrate, Rb[B5O6(OH)4]*2H2O Loclaity: synthetic, Acta Crystallographica, Section C, 40, 217–220 (1984)."
Jakobssonite,Ca Al F₅,"Hemon A., Courbion G., Refinement of the room-temperature structure of alpha-CaAlF5 _cod_database_code 1000300, Acta Crystallographica, Section C, 47, 1302–1303 (1991)."
Petalite,Li Al Si₄ O₁₀,"Ross N. L., Zhao J., Slebodnick C., Spencer E. C., Chakoumakos B. C., Petalite under pressure: Elastic behavior and phase stability Note: P = 0.0001 GPa, American Mineralogist, 100, 714–721 (2015)."
Hydrochlorborite,Ca₂ B₄ Cl O₁₈ H₂₁,"Brown G. E., Clark J. R., Crystal structure of hydrochlorborite, Ca2[B3O3(OH)4.OB(OH)3]Cl.7H2O, a seasonal evaporite mineral, American Mineralogist, 63, 814–823 (1978)."
Romerite,Fe₃ S₄ O₃₀ H₂₈,"Fanfani L., Nunzi A., Zanazzi P. F., The crystal structure of roemerite, American Mineralogist, 55, 78–89 (1970)."
Wollastonite-2M,Ca Si O₃,"Trojer F. J., The crystal structure of parawollastonite, Zeitschrift fur Kristallographie, 127, 291–308 (1968)."
Retzian-(Ce),Ce As Mn₂ O₈ H₄,"Moore P. B., Crystal chemistry of the basic manganese arsenate minerals 1. The crystal structures of flinkite, Mn2Mn(OH)4(AsO4) and retzian, Mn2Y(OH)4(AsO4) Note: Moore did not determine the REE compostion of the sample. Subsequent work by Dunn & Sturman (1982) concluded that it is Ce dominant Consequently, the REE in this structure has been changed to Ce, American Mineralogist, 52, 1603–1613 (1967)."
Gadolinium,Gd,"Spedding F. H., Daane A. H., Herrmann K. W., The crystal structures and lattice parameters of high-purity scandium, yttrium and the rare earth metals Note: sample 99.7% pure, Acta Crystallographica, 9, 559–563 (1956)."
Vrbaite,Hg₃ Tl₄ As₈ Sb₂ S₂₀,"Ohmasa M., Nowacki W., The crystal structure of vrbaite, Hg3Tl4As8Sb2S20, Zeitschrift fur Kristallographie, 134, 360–380 (1971)."
Eudidymite,Na Be Si₃ O₈ H,"Ito T., The structure of eudidymite (HNaBeSi3O8) Note: this structure does not make any sense, American Mineralogist, 32, 442–453 (1947)."
Tugarinovite,Mo O₂,"Wyckoff R. W. G., Second edition. Interscience Publishers, New York, New York, Crystal Structures, 1, 239–444 (1963)."
Paradamite,Zn₂ As O₅,"Bennett T. J., Crystal structure of paradamite, American Mineralogist, 65, 353–354 (1980)."
Stolzite,Pb W O₄,"Xu K., Xue J., Ding Y., Lu G., Discovery of stolzite in China and refinement of its crystal structure, Acta Geologica Sinica, 8, 111–116 (1995)."
Hogbomite,Al₁₄ Mg₅ Ti O₂₈ H,"Hejny C., Armbruster T., Polysomatism in hogbomite: The crystal structures of 10T, 12H, 14T and 24R polysomes Note: Data represents a model, not experiment. Sample: polytype 14T, American Mineralogist, 87, 277–292 (2002)."
Kamiokite,Mo₃ Fe₂ O₈,"le Page. Y., Strobel P., Structure of Iron(II) Molybdenum(IV) Oxide Fe2 Mo3 O8 _cod_database_code 1008752, Acta Crystallographica, Section B, 38, 1265–1267 (1982)."
Svabite,Ca₅ As₃ O₁₂ F,"Baikie T., Mercier P. H. J., Elcombe M. M., Kim J. Y., Le Page. Y., Mitchell L. D., White T. J., Whitfield P. S., Triclinic apatites, Acta Crystallographica, Section B, 63, 251–256 (2007)."
Rondorfite,Ca₈ Mg Si₄ O₁₆ Cl₂,"Rastsvetaeva R. K., Zadov A. E., Chukanov N. V., Crystal structure of low-symmetry rondorfite, Crystallography Reports, 53, 199–205 (2008)."
Tusionite,Mn Sn B₂ O₆,"Cooper M. A., Hawthorne F. C., Novak M., The crystal structure of tusionite, MnSn(BO3)2, a dolomite-structure borate, The Canadian Mineralogist, 32, 903–907 (1994)."
Symesite,S Pb₁₀ Cl₄ O₁₂,"Welch M. D., Cooper M. A., Hawthorne F. C., Criddle A. J., Symesite, Pb10(SO4)O7Cl4(H2O), a new PbO-related sheet mineral: Description and crystal structure, American Mineralogist, 85, 1526–1533 (2000)."
Chabourneite,Tl₈ Pb₄ Sb₂₁ As₁₉ S₆₈,"Nagl A., The crystal structure of a thallium sulfosalt, Tl8Pb4Sb21As19S68, Zeitschrift fur Kristallographie, 150, 85–106 (1979)."
Aphthitalite,K₃ Na S₂ O₈,"Okada K., Ossaka J., Structures of potassium sodium sulphate and tripotassium sodium disulphate, Acta Crystallographica, Section B, 36, 919–921 (1980)."
Sylvanite,Au Ag Te₄,"Tunell G., The atomic arrangement of sylvanite, American Mineralogist, 26, 457–477 (1941)."
Gittinsite,Zr Ca Si₂ O₇,"Roelofsen-Ahl J. N., Peterson R. C., Gittinsite: A modification of the thortveitite structure, The Canadian Mineralogist, 27, 703–708 (1989)."
Berndtite-2T,Sn S₂,"Hazen R. M., Finger L. W., The crystal structures and compressibilities of layer minerals at high pressure.  I. SnS2, berndtite P = 1 atm, American Mineralogist, 63, 289–292 (1978)."
Mertieite,Pd₈ Sb₃,"Marsh R. E., The centrosymmetric - noncentrosymmetric ambiguity: some more examples, Acta Crystallographica, Section A, 50, 450–455 (1994)."
Nielsenite,Cu₂₁ Pd₇,"Okamura K., Lattice modulation in the long period ordered alloys studied by X-ray diffraction. III. Cu3Pd Note: Coordinates of Cu6 altered to reproduce reported bond lengths, Journal of the Physical Society of Japan, 28, 1005–1014 (1970)."
Fischesserite,Ag₃ Au Se₂,"Bindi L., Cipriani C., Structural and physical properties of fischesserite, a rare gold-silver selenide from the De Lamar mine, Owyhee County, Idaho, USA, The Canadian Mineralogist, 42, 1733–1737 (2004)."
Kitagohaite,Pt₇ Cu,"Cabral A. R., Skala R., Vymazalova A., Kallistova A., Lehmann B., Jedwab J., Sidorinova T., Kitagohaite, Pt7Cu, a new mineral from the Lubero region, North Kivu, Democratic Republic of the Congo, Mineralogical Magazine, 78, 739–745 (2014)."
Baddeleyite,Zr O₂,"Kudoh Y., Takeda H., Arashi H., In situ determination of crystal structure for high pressure phase of ZrO2 using a diamond anvil and single crystal X-ray diffraction method Sample: P = 15 kbar, Physics and Chemistry of Minerals, 13, 233–237 (1986)."
Tiemannite,Hg Se,"Earley J. W., Description and syntheses of the selenide minerals, American Mineralogist, 35, 337–364 (1950)."
Gugiaite,Ca₂ Be Si₂ O₇,"Yang Z., Fleck M., Pertlik F., Tillmanns E., Tao K., The crystal structure of natural gugiaite, Ca2BeSi2O7 Note, z coordinate of Ca is altered to reproduce reported Ca-O bond lengths, Neues Jahrbuch fur Mineralogie, Monatshefte, 2001, 186–192 (2001)."
Kovdorskite,Mg₂ P O₈ H₇,"Morrison S. M., Downs R. T., Yang H., Redetermination of kovdorskite, Mg2PO4(OH)*3H2O, Acta Crystallographica, Section E, 68, i12–i13 (2012)."
Monazite-(Ce),Ce P O₄,"Ni Y., Hughes J. M., Mariano A. N., Crystal chemistry of the monazite and xenotime structures, American Mineralogist, 80, 21–26 (1995)."
Andrieslombaardite,Rh Sb S,"Cabri L. J., McDonald A. M., Oberthur T., Tamura N., Vymazalova A., Ross K. C., Melcher F., Andrieslombaardite, RhSbS, a new platinum-group mineral from the platiniferous Onverwacht Pipe, Republic of South Africa, South African Journal of, Geology,  (2023)."
Pretulite,Sc P O₄,"Bernhard F., Walter F., Ettinger K., Taucher J., Mereiter K., Pretulite, ScPO4, a new scandium mineral from the Styrian and Lower Austrian lazulite occurrences, Austria, American Mineralogist, 83, 625–630 (1998)."
Kogarkoite,Na₃ S O₄ F,"Pabst A., Sharp W. N., Kogarkoite, a new natural phase in the system Na2SO4 - NaF - NaCl, American Mineralogist, 58, 116–127 (1973)."
Pertoldite,Ge O₂,"Smith G. S., Isaacs P. B., The crystal structure of quartz-like GeO2, Acta Crystallographica, 17, 842–846 (1964)."
Zincite,Zn O,"Kihara K., Donnay G., Anharmonic thermal vibrations in ZnO Model: 2-c, at T = 293 K, The Canadian Mineralogist, 23, 647–654 (1985)."
Podlesnoite,Ba Ca₂ C₂ O₆ F₂,"Zubkova N. V., Pushcharovsky D. Y., Pekov I. V., Rabadanov M. K., The crystal structure of podlesnoite, BaCa2(CO3)2F2, Zeitschrift fur Kristallographie, 222, 474–476 (2007)."
Metarossite,Ca V₂ O₈,"Kelsey C. H., Barnes W. H., The crystal structure of metarossite, The Canadian Mineralogist, 6, 448–466 (1960)."
Kottigite,Zn₃ As₂ O₁₆ H₁₆,"Hill R. J., The crystal structure of kottigite, American Mineralogist, 64, 376–382 (1979)."
Alloclasite,Co As S,"Scott J. D., Nowacki W., The crystal structure of alloclasite, CoAsS, and the alloclasite-cobaltite transformation, The Canadian Mineralogist, 14, 561–566 (1976)."
Marrite,Pb Ag As S₃,"Wuensch B. J., Nowacki W., The crystal structure of marrite, PbAgAsS3, Zeitschrift fur Kristallographie, 125, 459–488 (1967)."
Cahnite,As B Ca₂ O₈ H₄,"Prewitt C. T., Buerger M. J., The crystal structure of cahnite, Ca2BAsO4(OH)4, American Mineralogist, 46, 1077–1085 (1961)."
Wilhelmkleinite,Zn Fe₂ As₂ O₁₀ H₂,"Adiwidjaja G., Friese K., Klaska K. H., Moore P. B., Schluter J., The crystal structure of the new mineral wilhelmkleinite ZnFe3+2(OH)2(AsO4)2, Zeitschrift fur Kristallographie, 215, 96–101 (2000)."
Brunogeierite,Ge Fe₂ O₄,"Welch M. D., Cooper M. A., Hawthorne F. C., The crystal structure of brunogeierite, Fe2GeO4 spinel, Mineralogical Magazine, 65, 441–444 (2001)."
Sphalerite,Zn S,"Skinner B. J., Unit-cell edges of natural and synthetic sphalerites, American Mineralogist, 46, 1399–1411 (1961)."
Brezinaite,Cr₃ S₄,"Jellinek F., The structures of the chromium sulphides, Acta Crystallographica, 10, 620–628 (1957)."
Lime,Ca O,"Fiquet G., Richet P., Montagnac G., High-temperature thermal expansion of lime, periclase, corundum and spinel Sample: PtRh10% heating wire, T = 298 K, Physics and Chemistry of Minerals, 27, 103–111 (1999)."
Rapidcreekite,Ca₂ S C O₁₁ H₈,"Onac B. P., Effenberger H. S., Wynn J. G., Povara I., Rapidcreekite in the sulfuric acid weathering environment of Diana Cave, Romania, American Mineralogist, 98, 1302–1309 (2013)."
Calcioolivine,Ca₂ Si O₄,"Zadov A. E., Gazeev V. M., Pertsev N. N., Gurbanov A. G., Gobechiya E. R., Yamnova N. A., Chukanov N. V., Calcioolivine, gamma-Ca2SiO4, an old and new mineral species Kabarda-Balkaria Republic, Russia, Geology of Ore Deposits, 51, 741–749 (2009)."
Ylid,C₁₁ O₂ S H₁₀,"Christensen A. T., Thom E., The crystal structure of 2-dimenthylsulfuranylidene-1,3-indanedione, Acta Crystallographica, Section B, 27, 581–586 (1971)."
Heklaite,K Na Si F₆,"Fischer J., Kramer V., Crystal structure of KNaSiF_6_, Materials Research Bulletin, 26, 925–930 (1991)."
Ottemannite,Sn₂ S₃,"Kniep R., Mootz D., Severin U., Wunderlich H., Structure of tin(II) tin(IV) trisulphide, a redetermination, Acta Crystallographica, Section B, 38, 2022–2023 (1982)."
Searlesite,Na B Si₂ O₇ H₂,"Ghose S., Wan C., Structural chemistry of borosilicates, part II: Searlesite, NaBSi2O5(OH): Absolute configuration, hydrogen locations, and refinement of the structure Note: unable to reproduce any of the reported bond lengths, American Mineralogist, 61, 123–129 (1976)."
Synchysite-(Ce),Ce Ca C₂ O₆ F,"Wang L., Ni Y., Hughes J. M., Bayliss P., Drexler J. W., The atomic arrangement of synchysite-(Ce), CeCaF(CO3)2, The Canadian Mineralogist, 32, 865–871 (1994)."
Buckminsterfullerene,C₅,"Dorset D. L., McCourt M. P., Disorder and the molecular packing of C60 buckminsterfullerene: a direct electron-crystallographic analysis Sample: room T, Acta Crystallographica, Section A, 50, 344–351 (1994)."
Kratochvilite,C₁₃ H₁₀,"Gerkin R. E., Lundstedt A. P., Reppart W. J., Structure of fluorene, C13H10, at 159 K Note: T = 159 K, Acta Crystallographica, Section C, 40, 1892–1894 (1984)."
Sophiite,Zn₂ Se Cl₂ O₃,"Semenova T. F., Rozhdestvenskaya I. V., Filatov S. K., Vergasova L. P., Crystal structure and physical properties of sophiite, Zn2(SeO3)Cl2, a new mineral Note: y(Zn2) corrected, Mineralogical Magazine, 56, 241–245 (1992)."
Huanghoite-(Ce),Ba Ce C₂ O₆ F,"Yang Z. M., Pertlik F., Huanghoite-(Ce), BaCe(CO3)2F, from Khibina, Kola peninsula, Russia: Redetermination of the crystal structure with a discussion on space group symmetry, Neues Jahrbuch fur Mineralogie, Monatshefte, 1993, 163–171 (1993)."
Dickite,Si₂ Al₂ O₉ H₄,"Bailey S. W., Polymorphism of the kaolin minerals, American Mineralogist, 48, 1196–1209 (1963)."
Palladinite,Pd O,"Waser J., Levy H. A., Peterson S. W., The structure of PdO, Acta Crystallographica, 6, 661–663 (1953)."
Corkite,Pb Fe₃ S P O₁₄ H₆,"Giuseppe G., Tadini C., Corkite, PbFe3(SO4)(PO4)(OH)6, its crystal structure and ordered arrangement of the tetrahedral cations Note: this is the prefered structure of these authors, Neues Jahrbuch fur Mineralogie, Monatshefte, 1987, 71–81 (1987)."
Ferrocarpholite,Fe Al₂ Si₂ (O₁₀ H₄),"MacGillavry C. H., Korst W. L., Weichel Moore. E. J., van der. Plas. H. J., The crystal structure of ferrocarpholite, Acta Crystallographica, 9, 773–776 (1956)."
Fluor-buergerite,Na Fe₃ Al₆ Si₆ B₃ F O₃₀ H₃,"Tippe A., Hamilton W. C., A neutron-diffraction study of the ferric tourmaline, buergerite, American Mineralogist, 56, 101–113 (1971)."
Adolfpateraite,K U S O₈ H₃,"Plasil J., Hlousek J., Veselovsky F., Fejfarova K., Dusek M., Skoda R., Novak M., Cejka J., Sejkora J., Ondrus P., Adolfpateraite, K(UO2)(SO4)(OH)(H2O), a new uranyl, sulphate mineral from Jachymov, Czech Republic, American Mineralogist, 97, 447–454 (2012)."
Platinum,Pt,"Wyckoff R. W. G., Second edition. Interscience Publishers, New York, New York Cubic closest packed, ccp, structure, Crystal Structures, 1, 7–83 (1963)."
Kermesite,Sb₂ S₂ O,"Kupcik V., Die kristallstruktur des kermesits, Sb2S2O, Naturwissenschaften, 54, 114–114 (1967)."
Pseudomalachite,Cu₅ P₂ O₁₂ H₄,"Shoemaker G. L., Anderson J. B., Kostiner E., Refinement of the crystal structure of pseudomalachite, American Mineralogist, 62, 1042–1048 (1977)."
Hentschelite,Cu Fe₂ P₂ O₁₀ H₂,"Sieber N. H. W., Tillmanns E., Hofmeister W., Structure of hentschelite, CuFe2(PO4)2(OH)2, a new member of the lazulite group, Acta Crystallographica, Section C, 43, 1855–1857 (1987)."
Thalcusite,Tl Cu₂ S₂,"Berger R., Synthesis and characterization of the layered metal TlCu2S2, Journal of the Less-Common Metals, 147, 141–148 (1989)."
Krieselite,Al₂ Ge O₆ H₂,"Wunder B., Marler B., Ge-analogues of aluminium silicates: High-pressure synthesis and properties of orthorhombic Al2GeO4(OH)2 Note: Space group setting altered to match standard, European Journal of Mineralogy, 9, 1147–1158 (1997)."
Chalcostibite,Cu Sb S₂,"Kyono A., Kimata M., Crystal structures of chalcostibite (CuSbS2) and emplectite (CuBiS2): Structural relationship of stereochemical activity between chalcostibite and emplectite, American Mineralogist, 90, 162–165 (2005)."
Caswellsilverite,Na Cr S₂,"Engelsman F. M. R., Wiegers G. A., Jellinek F., VanLaar B., Crystal structures and magnetic structures of some metal chromium(III) sulfides and selenides Sample: T = 4.2 K, Journal of Solid State Chemistry, 6, 574–582 (1973)."
Lafossaite,Tl Cl,"Moeller K., Eine fur Praezisionsbestimmungen von Gitterkonstanten nach der Debye- Scherrer-Methode besonders geeignete Eichsubstanz _cod_database_code 1011364, Naturwissenschaften, 21, 223–223 (1933)."
